system,rep,budget,use_dom,mode,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
DUAL_RUT_200000,RUT,200000,False,gated,LATE_TEST_Q4,0.0025,3.5781250000000004,0.943758536650687,0.00984647961884595,0.997367825200951,0.969822900469238,35239,93,9352,2100,9.846479618845951,0.00795452797588894,0.012049214551518656,0.9987075834444821,0.9953584878284067,0.9986083557871672,0.0049761778718898884,0.01111699311805188
DUAL_RUT_200000,RUT,200000,False,gated,OFFICIAL_TEST,0.005,1.7041015625000002,0.9535807291666667,0.006903353057199211,0.9914709266905841,0.972156771645704,73235,630,90630,3565,6.903353057199211,0.006376397680328487,0.007462005923669265,0.9964836849306892,0.9965694378812369,0.9968436072236715,0.0023997370151216304,0.006070567609029147
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_OOD_EXACT,0.005,1.7041015625000002,0.9553317012481438,0.012413156488364184,0.992895179567037,0.9737513124343782,71412,511,40655,3339,12.413156488364184,0.011365943539583055,0.013529956348114248,0.9975652012422085,0.9954284245330476,0.9976870728127271,0.003789535053199242,0.009886799786231356
DUAL_RUT_200000,RUT,200000,False,gated,TEMPLATE_OOD_EXACT,0.005,1.7041015625000002,0.9562734425674723,0.006832401306682908,0.9909840137943128,0.9733193639129686,67817,617,89688,3101,6.832401306682908,0.006305487405156946,0.007391356926914975,0.9964119689190589,0.9966613698663565,0.996738248330108,0.0023143790487791375,0.005392835391174354
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_TEMPLATE_OOD_EXACT,0.005,1.7041015625000002,0.958337549692808,0.01217008797653959,0.9925439056160261,0.975140844034538,66293,498,40422,2882,12.17008797653959,0.011130243033558952,0.013279986230932177,0.9975673501507191,0.995715117353278,0.9976934535727443,0.0035190615835777126,0.008797653958944282
DUAL_RUT_200000,RUT,200000,False,gated,LATE_TEST_Q4,0.005,1.7041015625000002,0.957336832802164,0.014610905240868183,0.9961542748857429,0.9763598869207762,35746,138,9307,1593,14.610905240868183,0.01228869983193974,0.01723907166023042,0.9987075834444821,0.9953584878284067,0.9986083557871672,0.0049761778718898884,0.01111699311805188
DUAL_RUT_200000,RUT,200000,False,gated,OFFICIAL_TEST,0.01,-0.5205078124999999,0.9673046875,0.012294543063773833,0.9851215339937145,0.976131817017167,74289,1122,90138,2511,12.294543063773833,0.01158964475623721,0.013030689265734188,0.9964836849306892,0.9965694378812369,0.9968436072236715,0.0023997370151216304,0.006070567609029147
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_OOD_EXACT,0.01,-0.5205078124999999,0.968642559965753,0.022785794101928776,0.9872111255027609,0.9778386992221263,72407,938,40228,2344,22.785794101928776,0.021365912915725097,0.024273523917044505,0.9975652012422085,0.9954284245330476,0.9976870728127271,0.003789535053199242,0.009886799786231356
DUAL_RUT_200000,RUT,200000,False,gated,TEMPLATE_OOD_EXACT,0.01,-0.5205078124999999,0.9695704898615303,0.012236310281822711,0.9841837830100909,0.9768224856694345,68760,1105,89200,2158,12.23631028182271,0.011529433154224947,0.01297477193006483,0.9964119689190589,0.9966613698663565,0.996738248330108,0.0023143790487791375,0.005392835391174354
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_TEMPLATE_OOD_EXACT,0.01,-0.5205078124999999,0.9711890133718829,0.022531769305962856,0.9864618818277928,0.9787658709635122,67182,922,39998,1993,22.531769305962857,0.02111560542029708,0.024016232391403682,0.9975673501507191,0.995715117353278,0.9976934535727443,0.0035190615835777126,0.008797653958944282
DUAL_RUT_200000,RUT,200000,False,gated,LATE_TEST_Q4,0.01,-0.5205078124999999,0.9685851254720266,0.023716251985177343,0.9938444627644958,0.9810522318219426,36166,224,9221,1173,23.716251985177344,0.020742169121589996,0.02698880789517989,0.9987075834444821,0.9953584878284067,0.9986083557871672,0.0049761778718898884,0.01111699311805188
DUAL_RUT_200000,RUT,200000,False,gated,OFFICIAL_TEST,0.02,-3.1855468749999996,0.9780078125,0.02492877492877493,0.970601917659525,0.9742907916412644,75111,2275,88985,1689,24.928774928774928,0.023926892770393726,0.02596100630122896,0.9964836849306892,0.9965694378812369,0.9968436072236715,0.0023997370151216304,0.006070567609029147
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_OOD_EXACT,0.02,-3.1855468749999996,0.9794250244143891,0.04634892872759073,0.9746009770902944,0.9770070460125975,73213,1908,39258,1538,46.34892872759073,0.04433791833066215,0.048424232288291076,0.9975652012422085,0.9954284245330476,0.9976870728127271,0.003789535053199242,0.009886799786231356
DUAL_RUT_200000,RUT,200000,False,gated,TEMPLATE_OOD_EXACT,0.02,-3.1855468749999996,0.9793282382469894,0.024782680914678036,0.9687822569396011,0.9740267025692807,69452,2238,88067,1466,24.782680914678036,0.02377847932051364,0.02581756387598423,0.9964119689190589,0.9966613698663565,0.996738248330108,0.0023143790487791375,0.005392835391174354
DUAL_RUT_200000,RUT,200000,False,gated,DOMAIN_TEMPLATE_OOD_EXACT,0.02,-3.1855468749999996,0.9809757860498735,0.045918866080156405,0.9730562964237575,0.9769999928012497,67859,1879,39041,1316,45.918866080156405,0.04391092635888338,0.04799155055903577,0.9975673501507191,0.995715117353278,0.9976934535727443,0.0035190615835777126,0.008797653958944282
DUAL_RUT_200000,RUT,200000,False,gated,LATE_TEST_Q4,0.02,-3.1855468749999996,0.9775034146602748,0.04182106934886183,0.9892936520843497,0.9833631942667007,36499,395,9050,840,41.82106934886183,0.03787293319957621,0.04605481905886001,0.9987075834444821,0.9953584878284067,0.9986083557871672,0.0049761778718898884,0.01111699311805188
DUAL_RUT_200000,RUT,200000,False,equal,OFFICIAL_TEST,0.0001,9.343750000000002,0.36485677083333334,5.478851632697787e-05,0.9998215942339257,0.5346192738442752,28021,5,91255,48779,0.05478851632697787,1.77899137553076e-05,0.00012785344931237223,0.9957405934904929,0.9959959530690701,0.9945613075882709,0.004142011834319527,0.006563664255971948
