system,run,rep,method,budget,scenario,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,AUC,P_at_R90,FPR_at_TPR90
RUT_ACTIVE_B95,0,RUT,ACTIVE,2000,LATE_TEST_Q4,2.0470306873321538,0.697340582233054,0.005717310746426681,0.997930400122643,0.8209865838470148,26038,54,9391,11301,5.717310746426681,0.9959585899073914,0.9852858670259784,0.9907481068976693,0.03324510322922181
RUT_ACTIVE_B95,1,RUT,ACTIVE,2000,OFFICIAL_TEST,2.2307205200195317,0.7260807291666667,0.0056432171816787205,0.9908489996090835,0.8380498654924179,55763,515,90745,21037,5.643217181678721,0.9854034921208511,0.9862119276882898,0.9681219098841688,0.024939732632040326
RUT_ACTIVE_B95,1,RUT,ACTIVE,2000,DOMAIN_OOD_EXACT,2.2307205200195317,0.7343179355460128,0.010809891658164504,0.9919582188810178,0.8439121510988798,54891,445,40721,19860,10.809891658164505,0.9893211916713044,0.9806833428273223,0.9744354803667387,0.04287518826215809
RUT_ACTIVE_B95,1,RUT,ACTIVE,2000,TEMPLATE_OOD_EXACT,2.2307205200195317,0.725767788149694,0.005603233486517912,0.9902647375711867,0.8376324312008722,51470,506,89799,19448,5.603233486517912,0.9845455249905448,0.9861447682182063,0.9661827704697173,0.024738386578816232
RUT_ACTIVE_B95,1,RUT,ACTIVE,2000,DOMAIN_TEMPLATE_OOD_EXACT,2.2307205200195317,0.734615106613661,0.010654936461388074,0.9914931808869725,0.8439399475205103,50817,436,40484,18358,10.654936461388074,0.9887028526796627,0.9808098971222421,0.9731922343452027,0.041911045943304005
RUT_ACTIVE_B95,1,RUT,ACTIVE,2000,LATE_TEST_Q4,2.2307205200195317,0.6924931037253274,0.008470089994706194,0.9969156031923507,0.8172766925848663,25857,80,9365,11482,8.470089994706195,0.9955771970102244,0.9836982412197484,0.9904520539871515,0.034303864478560084
RUT_ACTIVE_B95,2,RUT,ACTIVE,2000,OFFICIAL_TEST,2.4030134677886967,0.7374869791666666,0.005435020819636204,0.9913188063358712,0.8457684697801171,56639,496,90764,20161,5.435020819636204,0.986255829397105,0.9872065965088301,0.9714574813440702,0.02225509533201841
RUT_ACTIVE_B95,2,RUT,ACTIVE,2000,DOMAIN_OOD_EXACT,2.4030134677886967,0.7447659563082768,0.010688432201331196,0.9921585400627316,0.8508440124404911,55672,440,40726,19079,10.688432201331196,0.9896822855605445,0.9816522755660535,0.9765858615183626,0.039182820774425496
RUT_ACTIVE_B95,2,RUT,ACTIVE,2000,TEMPLATE_OOD_EXACT,2.4030134677886967,0.7368792126117488,0.005403908975139804,0.9907481136010313,0.8451610816405745,52258,488,89817,18660,5.403908975139804,0.9852812402650744,0.986975521235079,0.9693674538689346,0.022335418858313492
RUT_ACTIVE_B95,2,RUT,ACTIVE,2000,DOMAIN_TEMPLATE_OOD_EXACT,2.4030134677886967,0.7445753523671846,0.010557184750733138,0.99168239054257,0.8505445327916903,51506,432,40488,17669,10.557184750733137,0.9889630167871778,0.9815337036734788,0.9749902121995145,0.03902737047898338
