reference,margin,budget,scenario,mean_delta,delta_fpr,p_ni
XGB_200K,0.01,20000,DOMAIN_OOD_EXACT,0.012267394416128452,-0.002686683185152791,2.4465841007707716e-05
R0_200K,0.01,20000,DOMAIN_TEMPLATE_OOD_EXACT,-0.009442717744849994,-0.002079667644183821,0.4453125
XGB_200K,0.01,20000,DOMAIN_TEMPLATE_OOD_EXACT,0.013950126490784198,-0.0024828934506353918,5.7934449002584434e-06
R0_200K,0.01,20000,LATE_TEST_Q4,-0.013738986046760715,-0.0021916357861302294,0.73828125
XGB_200K,0.01,20000,LATE_TEST_Q4,0.0008891507539033894,-0.004457384859714119,0.04330823337447546
R0_200K,0.01,20000,OFFICIAL_TEST,-0.004130208333333374,-0.0009587990357221698,0.0341796875
XGB_200K,0.01,20000,OFFICIAL_TEST,0.005553385416666834,-0.0009850975235590797,0.0003938038328907924
R0_200K,0.01,20000,TEMPLATE_OOD_EXACT,-0.006358047322259553,-0.0009777974641492996,0.13671875
XGB_200K,0.01,20000,TEMPLATE_OOD_EXACT,0.006269212329732876,-0.0008836720004429498,0.0001538311791518424
R0_200K,0.01,50000,DOMAIN_OOD_EXACT,0.03237548661556365,-0.001797599961132941,0.0009765625
XGB_200K,0.01,50000,DOMAIN_OOD_EXACT,0.05211167743575362,-0.002402468056162871,8.710662696391948e-09
R0_200K,0.01,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.03244958438742322,-0.0018035190615836097,0.0009765625
XGB_200K,0.01,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.05584242862305733,-0.0022067448680351803,9.461077159866023e-09
R0_200K,0.01,50000,LATE_TEST_Q4,0.03600524920324598,-0.00171519322392801,0.0009765625
XGB_200K,0.01,50000,LATE_TEST_Q4,0.0506333860039101,-0.0039809422975119,2.561215629338395e-06
R0_200K,0.01,50000,OFFICIAL_TEST,0.03624999999999996,-0.0007900504054350593,0.0009765625
XGB_200K,0.01,50000,OFFICIAL_TEST,0.04593359375000006,-0.0008163488932719691,2.4272248379436128e-08
R0_200K,0.01,50000,TEMPLATE_OOD_EXACT,0.036140331086607025,-0.000807264271081359,0.0009765625
XGB_200K,0.01,50000,TEMPLATE_OOD_EXACT,0.0487675907385996,-0.0007131388073750092,2.7809346998239908e-08
R0_200K,0.01,100000,DOMAIN_OOD_EXACT,0.059667429198271574,-0.0017392994218529498,0.0009765625
XGB_200K,0.01,100000,DOMAIN_OOD_EXACT,0.07940362001846146,-0.0023441675168828797,2.3199299713720476e-13
R0_200K,0.01,100000,DOMAIN_TEMPLATE_OOD_EXACT,0.06068955547524398,-0.0017644183773216499,0.0009765625
XGB_200K,0.01,100000,DOMAIN_TEMPLATE_OOD_EXACT,0.08408239971087816,-0.0021676441837732204,2.5870355632448427e-14
R0_200K,0.01,100000,LATE_TEST_Q4,0.0738316505530411,-0.00140815246161991,0.0009765625
XGB_200K,0.01,100000,LATE_TEST_Q4,0.08845978735370519,-0.0036739015352038,2.559049888801709e-11
