check,actual,expected,error,passed
Putra RUT 4 1000 AP,0.9293267149372022,0.9293267149372022,0.0,True
Putra RUT 4 1000 AUC,0.9597133774531228,0.9597133774531228,0.0,True
Putra RUT 4 1000 P_at_R90,0.8326572008113591,0.8326572008113591,0.0,True
Putra RUT 4 1000 FPR_at_TPR90,0.09786476868327403,0.097864768683274,2.7755575615628914e-17,True
Putra R0 4 2000 AP,0.9387833634132964,0.9387833634132964,0.0,True
Putra R0 4 2000 AUC,0.9677029354227799,0.96770293542278,1.1102230246251565e-16,True
Putra R0 4 2000 P_at_R90,0.8623949579831933,0.8623949579831933,0.0,True
Putra R0 4 2000 FPR_at_TPR90,0.07769869513641756,0.0776986951364175,5.551115123125783e-17,True
Putra RUT 4 2000 AP,0.9505564249091208,0.9505580259381226,1.6010290017076656e-06,False
Putra RUT 4 2000 AUC,0.9724999219579197,0.9725005723085888,6.503506690958005e-07,False
Putra RUT 4 2000 P_at_R90,0.8678646934460887,0.8678646934460887,0.0,True
Putra RUT 4 2000 FPR_at_TPR90,0.07413997627520759,0.0741399762752075,8.326672684688674e-17,True
Putra R0 5 200 AP,0.8263665848255715,0.8263665848255715,0.0,True
Putra R0 5 200 AUC,0.9022861126719527,0.9022861126719528,1.1102230246251565e-16,True
Putra R0 5 200 P_at_R90,0.6334876543209876,0.6334876543209876,0.0,True
Putra R0 5 200 FPR_at_TPR90,0.28173190984578883,0.2817319098457888,5.551115123125783e-17,True
Putra RUT 5 200 AP,0.8606184145291713,0.8606246753457341,6.260816562742022e-06,False
Putra RUT 5 200 AUC,0.9222174096272711,0.9222245634846308,7.153857359720739e-06,False
Putra RUT 5 200 P_at_R90,0.6768342951360263,0.6768342951360263,0.0,True
Putra RUT 5 200 FPR_at_TPR90,0.232502965599051,0.232502965599051,0.0,True
Putra R0 5 500 AP,0.8886157659225086,0.8886157659225086,0.0,True
Putra R0 5 500 AUC,0.9425050987492457,0.9425050987492456,1.1102230246251565e-16,True
Putra R0 5 500 P_at_R90,0.7601851851851852,0.7601851851851852,0.0,True
Putra R0 5 500 FPR_at_TPR90,0.15361803084223014,0.1536180308422301,2.7755575615628914e-17,True
Putra RUT 5 500 AP,0.9086811405337492,0.9086678204496664,1.3320084082724115e-05,False
Putra RUT 5 500 AUC,0.9522941770202492,0.952284421760213,9.755260036214963e-06,False
Putra RUT 5 500 P_at_R90,0.7828571428571428,0.7828571428571428,0.0,True
Putra RUT 5 500 FPR_at_TPR90,0.13523131672597866,0.1352313167259786,5.551115123125783e-17,True
Putra R0 5 1000 AP,0.9193936851549471,0.9193936851549472,1.1102230246251565e-16,True
Putra R0 5 1000 AUC,0.9575971363759339,0.957597136375934,1.1102230246251565e-16,True
Putra R0 5 1000 P_at_R90,0.8242971887550201,0.8242971887550201,0.0,True
Putra R0 5 1000 FPR_at_TPR90,0.10379596678529063,0.1037959667852906,2.7755575615628914e-17,True
Putra RUT 5 1000 AP,0.9425320629614056,0.9425306066688116,1.4562925939598514e-06,False
Putra RUT 5 1000 AUC,0.9698373863187031,0.969837386318703,1.1102230246251565e-16,True
Putra RUT 5 1000 P_at_R90,0.8509316770186336,0.8509316770186336,0.0,True
Putra RUT 5 1000 FPR_at_TPR90,0.08540925266903915,0.0854092526690391,4.163336342344337e-17,True
Putra R0 5 2000 AP,0.9334205425973683,0.9334204017157712,1.4088159705494263e-07,False
Putra R0 5 2000 AUC,0.9635094743085474,0.9635094743085472,2.220446049250313e-16,True
Putra R0 5 2000 P_at_R90,0.8507772020725388,0.8507772020725388,0.0,True
Putra R0 5 2000 FPR_at_TPR90,0.08540925266903915,0.0854092526690391,4.163336342344337e-17,True
Putra RUT 5 2000 AP,0.9558138210895908,0.9558109279406216,2.893148969174142e-06,False
Putra RUT 5 2000 AUC,0.9763174803854238,0.9763155293334164,1.951052007398424e-06,False
Putra RUT 5 2000 P_at_R90,0.8861439312567132,0.8861439312567132,0.0,True
Putra RUT 5 2000 FPR_at_TPR90,0.06287069988137604,0.062870699881376,4.163336342344337e-17,True
Putra R0 6 200 AP,0.8316966963125922,0.8316966963125922,0.0,True
Putra R0 6 200 AUC,0.893946015691661,0.893946015691661,0.0,True
Putra R0 6 200 P_at_R90,0.5923520923520924,0.5923520923520924,0.0,True
Putra R0 6 200 FPR_at_TPR90,0.3351126927639383,0.3351126927639383,0.0,True
Putra RUT 6 200 AP,0.8729854608658028,0.8729854608658028,0.0,True
Putra RUT 6 200 AUC,0.9166029323010966,0.9166029323010966,0.0,True
Putra RUT 6 200 P_at_R90,0.643921568627451,0.643921568627451,0.0,True
Putra RUT 6 200 FPR_at_TPR90,0.269276393831554,0.269276393831554,0.0,True
Putra R0 6 500 AP,0.8845249037448104,0.8845249037448104,0.0,True
Putra R0 6 500 AUC,0.9314497877255417,0.9314497877255415,1.1102230246251565e-16,True
Putra R0 6 500 P_at_R90,0.7170305676855895,0.7170305676855895,0.0,True
Putra R0 6 500 FPR_at_TPR90,0.19217081850533807,0.192170818505338,8.326672684688674e-17,True
Putra RUT 6 500 AP,0.9232934438188861,0.923293443818886,1.1102230246251565e-16,True
Putra RUT 6 500 AUC,0.9532443393477764,0.9532443393477764,0.0,True
Putra RUT 6 500 P_at_R90,0.7552897884084636,0.7552897884084636,0.0,True
Putra RUT 6 500 FPR_at_TPR90,0.15776986951364175,0.1577698695136417,5.551115123125783e-17,True
Putra R0 6 1000 AP,0.9125048008666761,0.912504800866676,1.1102230246251565e-16,True
Putra R0 6 1000 AUC,0.9516867494953278,0.9516867494953278,0.0,True
Putra R0 6 1000 P_at_R90,0.7767265846736046,0.7767265846736046,0.0,True
Putra R0 6 1000 FPR_at_TPR90,0.13997627520759193,0.1399762752075919,2.7755575615628914e-17,True
Putra RUT 6 1000 AP,0.9331039331861435,0.9331039331861436,1.1102230246251565e-16,True
Putra RUT 6 1000 AUC,0.9633241243678592,0.9633241243678592,0.0,True
Putra RUT 6 1000 P_at_R90,0.8311425682507584,0.8311425682507584,0.0,True
Putra RUT 6 1000 FPR_at_TPR90,0.09905100830367734,0.0990510083036773,4.163336342344337e-17,True
Putra R0 6 2000 AP,0.9364146233507695,0.9364146233507696,1.1102230246251565e-16,True
Putra R0 6 2000 AUC,0.9674063755176792,0.9674063755176792,0.0,True
Putra R0 6 2000 P_at_R90,0.842374616171955,0.842374616171955,0.0,True
Putra R0 6 2000 FPR_at_TPR90,0.09134045077105575,0.0913404507710557,5.551115123125783e-17,True
Putra RUT 6 2000 AP,0.9541745413752015,0.9541766346800764,2.0933048748839056e-06,False
Putra RUT 6 2000 AUC,0.9752548073921459,0.9752541570414768,6.503506690958005e-07,False
Putra RUT 6 2000 P_at_R90,0.879957127545552,0.879957127545552,0.0,True
Putra RUT 6 2000 FPR_at_TPR90,0.066429418742586,0.066429418742586,0.0,True
Putra R0 7 200 AP,0.8453508466343277,0.8453548954244425,4.048790114841161e-06,False
Putra R0 7 200 AUC,0.9073796591121932,0.9073809598135312,1.3007013379695564e-06,False
Putra R0 7 200 P_at_R90,0.6427457098283932,0.6427457098283932,0.0,True
Putra R0 7 200 FPR_at_TPR90,0.27164887307236063,0.2716488730723606,5.551115123125783e-17,True
Putra RUT 7 200 AP,0.8617294779878762,0.8617294779878762,0.0,True
Putra RUT 7 200 AUC,0.9123665480427046,0.9123665480427046,0.0,True
Putra RUT 7 200 P_at_R90,0.6200906344410876,0.6200906344410876,0.0,True
Putra RUT 7 200 FPR_at_TPR90,0.29833926453143533,0.2983392645314353,5.551115123125783e-17,True
Putra R0 7 500 AP,0.8808018190410506,0.8808040766153638,2.257574313158095e-06,False
Putra R0 7 500 AUC,0.9301451842833657,0.9301451842833656,1.1102230246251565e-16,True
Putra R0 7 500 P_at_R90,0.6870292887029289,0.6870292887029289,0.0,True
Putra R0 7 500 FPR_at_TPR90,0.22182680901542112,0.2218268090154211,2.7755575615628914e-17,True
Putra RUT 7 500 AP,0.9145233222339054,0.9145366256432,1.3303409294618262e-05,False
Putra RUT 7 500 AUC,0.9496140819129674,0.94962643857568,1.2356662712598165e-05,False
Putra RUT 7 500 P_at_R90,0.761595547309833,0.761595547309833,0.0,True
Putra RUT 7 500 FPR_at_TPR90,0.15243179122182682,0.1524317912218268,2.7755575615628914e-17,True
Putra R0 7 1000 AP,0.9167368220179425,0.9167368220179424,1.1102230246251565e-16,True
Putra R0 7 1000 AUC,0.9551622234708955,0.9551622234708956,1.1102230246251565e-16,True
Putra R0 7 1000 P_at_R90,0.8096646942800789,0.8096646942800789,0.0,True
Putra R0 7 1000 FPR_at_TPR90,0.11447212336892053,0.1144721233689205,2.7755575615628914e-17,True
Putra RUT 7 1000 AP,0.9488160216993535,0.9488160216993536,1.1102230246251565e-16,True
Putra RUT 7 1000 AUC,0.9702568625002602,0.9702568625002602,0.0,True
Putra RUT 7 1000 P_at_R90,0.870625662778367,0.870625662778367,0.0,True
Putra RUT 7 1000 FPR_at_TPR90,0.07236061684460261,0.0723606168446026,1.3877787807814457e-17,True
Putra R0 7 2000 AP,0.9297913639005186,0.929793327158344,1.9632578253103716e-06,False
Putra R0 7 2000 AUC,0.9631605611745853,0.9631608863499198,3.2517533454790026e-07,False
Putra R0 7 2000 P_at_R90,0.836901121304791,0.836901121304791,0.0,True
Putra R0 7 2000 FPR_at_TPR90,0.09489916963226572,0.0948991696322657,1.3877787807814457e-17,True
Putra RUT 7 2000 AP,0.9600290493356922,0.9600290493356922,0.0,True
Putra RUT 7 2000 AUC,0.9782906443154148,0.9782906443154148,0.0,True
Putra RUT 7 2000 P_at_R90,0.9092920353982301,0.90929203539823,1.1102230246251565e-16,True
Putra RUT 7 2000 FPR_at_TPR90,0.04863582443653618,0.0486358244365361,8.326672684688674e-17,True
Putra R0 8 200 AP,0.8378543814877503,0.8378543814877503,0.0,True
Putra R0 8 200 AUC,0.9038371990177103,0.9038371990177104,1.1102230246251565e-16,True
Putra R0 8 200 P_at_R90,0.6409055425448869,0.6409055425448869,0.0,True
