seed,budget,rep,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90
122,20000,RT,FINAL,TEMPLATE_OOD_EXACT,0.0001,9.554687500000002,0.1853549169463323,5.536791982725209e-05,0.999619771863118,0.3127230337345958,13145,5,90300,57773,0.055367919827252,0.9843667244733634,0.9797240257248546
122,20000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,9.554687500000002,0.1897361763642934,0.0001221896383186,0.9996191926884996,0.3189356661199198,13125,5,40915,56050,0.1221896383186705,0.9893742460438026,0.983356230359878
122,20000,RT,FINAL,LATE_TEST_Q4,0.0001,9.554687500000002,0.1910870671415945,0.0001058761249338,0.999859865470852,0.3208544125913434,7135,1,9444,30204,0.1058761249338274,0.9959807893196256,0.9942917985271066
122,20000,RT,DEV,DEV,0.0005,7.949218750000001,0.6287,0.0008,0.9987291501191422,0.7716477447069653,6287,8,9992,3713,0.8,0.9938708674194774,0.9911232876712328
122,20000,RT,FINAL,OFFICIAL_TEST,0.0005,7.949218750000001,0.3543880208333333,0.000471181240412,0.9984225972120324,0.523102056505862,27217,43,91217,49583,0.4711812404120096,0.9854048225553864,0.9803006665721176
122,20000,RT,FINAL,DOMAIN_OOD_EXACT,0.0005,7.949218750000001,0.3618680686545999,0.0008745080891998,0.9986709000959906,0.5312411009750876,27050,36,41130,47701,0.8745080891998251,0.9900580738210598,0.9839440821220716
122,20000,RT,FINAL,TEMPLATE_OOD_EXACT,0.0005,7.949218750000001,0.3521954933867283,0.0004761641105143,0.99828137490008,0.5206904459129855,24977,43,90262,45941,0.4761641105143679,0.9843667244733634,0.9797240257248546
122,20000,RT,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,7.949218750000001,0.3590892663534514,0.0008797653958944,0.9985528219971056,0.5282240486544535,24840,36,40884,44335,0.8797653958944281,0.9893742460438026,0.983356230359878
122,20000,RT,FINAL,LATE_TEST_Q4,0.0005,7.949218750000001,0.3866466697019202,0.0008470089994706,0.9994461751471098,0.5575853545496678,14437,8,9437,22902,0.8470089994706194,0.9959807893196256,0.9942917985271066
122,20000,RT,DEV,DEV,0.001,7.042968750000001,0.7043,0.0014,0.9980161541731614,0.8258193117195286,7043,14,9986,2957,1.4,0.9938708674194774,0.9911232876712328
