replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90,f1,fpr_ci_lo,fpr_ci_hi,AUC,FPR_at_TPR90,FPR_at_TPR95
8,302,9109,RT,20000,FINAL,OFFICIAL_TEST,0.005,3.623046875,0.7369661458333333,0.005237782160859,0.9916253482138164,56599,478,90782,20201,5.237782160859084,0.986672563175282,0.982224811378394,,,,,,
8,302,9109,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.623046875,0.7482976816363661,0.009692464655298,0.9929173693086004,55936,399,40767,18815,9.692464655298062,0.9910737781257376,0.9857159600339886,,,,,,
8,302,9109,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.623046875,0.7297724132096224,0.0051492165439344,0.9910951952354506,51754,465,89840,19164,5.149216543934444,0.9856551578519565,0.9811544078087772,,,,,,
8,302,9109,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.623046875,0.740889049512107,0.0094574780058651,0.9925055191912932,51251,387,40533,17924,9.457478005865102,0.9903965317258856,0.9849393301798738,,,,,,
8,302,9109,RT,20000,FINAL,LATE_TEST_Q4,0.005,3.623046875,0.7869251988537455,0.0078348332451032,0.9974878636656822,29383,74,9371,7956,7.834833245103229,0.9959939309679864,0.9952930728241564,,,,,,
9,322,9110,R0,20000,FINAL,OFFICIAL_TEST,0.005,2.6562500000000004,0.6912109375,0.0054678939294323,0.9906875186622872,53085,499,90761,23715,5.467893929432391,0.9828228029627388,0.9700371903726054,,,,,,
9,322,9110,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.6562500000000004,0.7010742331206271,0.0106884322013311,0.9916739204480944,52406,440,40726,22345,10.688432201331196,0.9882955810261584,0.978077252969311,,,,,,
9,322,9110,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.6562500000000004,0.6848613892100736,0.0053263938873816,0.9901936799184504,48569,481,89824,22349,5.326393887381651,0.9815704329526792,0.9681906437716158,,,,,,
9,322,9110,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.6562500000000004,0.6948608601373328,0.0103128054740957,0.9912969951947864,48067,422,40498,21108,10.312805474095796,0.9874238749413248,0.9773472943909828,,,,,,
9,322,9110,R0,20000,FINAL,LATE_TEST_Q4,0.005,2.6562500000000004,0.7178285438817322,0.0076230809952355,0.9973209302325582,26803,72,9373,10536,7.623080995235575,0.995108977285776,0.9889068706782403,,,,,,
9,322,9110,RT,20000,FINAL,OFFICIAL_TEST,0.005,2.6718750000000004,0.7295182291666666,0.0056980056980056,0.9908041098555184,56027,520,90740,20773,5.698005698005698,0.9859775613009474,0.9780267979682216,,,,,,
9,322,9110,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.6718750000000004,0.7369801072895346,0.0110042267890978,0.9918441567794322,55090,453,40713,19661,11.0042267890978,0.9904031456103612,0.982892372423264,,,,,,
9,322,9110,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.6718750000000004,0.7221579852787726,0.0056032334865179,0.990216550657386,51214,506,89799,19704,5.603233486517912,0.9849060202186404,0.9764588910133843,,,,,,
9,322,9110,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.6718750000000004,0.7301048066498013,0.0107282502443792,0.991382694723618,50505,439,40481,18670,10.728250244379277,0.9896691626934908,0.9820197782439316,,,,,,
9,322,9110,RT,20000,FINAL,LATE_TEST_Q4,0.005,2.6718750000000004,0.7585366506869493,0.007305452620434,0.9975697379543532,28323,69,9376,9016,7.3054526204340915,0.9960251306237904,0.9922933829391444,,,,,,
0,142,9101,RU,20000,FINAL,OFFICIAL_TEST,0.005,2.7871093750000004,0.8658072916666667,0.0056541748849441,0.9922996567676466,66494,516,90744,10306,5.654174884944116,0.9898484465267176,0.989251928498848,0.9247479312982408,0.0051779872987632,0.0061621839597811,0.990259107449412,0.008229235152312,0.0275147928994082
0,142,9101,RU,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.7871093750000004,0.8717074019076668,0.0103969295049312,0.993474515543765,65161,428,40738,9590,10.396929504931254,0.9929602237578083,0.9914686077180368,0.928616217756876,0.009439582563485,0.0114242447772478,0.9869511216825928,0.0140650051012971,0.0456930476606908
0,142,9101,RU,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.7871093750000004,0.86537973434107,0.0055146448147943,0.99195073461669,61371,498,89807,9547,5.514644814794308,0.9890827868488382,0.9889679108755944,0.9243525345101554,0.0050420442821714,0.0060194207682089,0.990043007128146,0.0078843917834006,0.0266984109407009
0,142,9101,RU,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.7871093750000004,0.8715142753885075,0.0101417399804496,0.993163322460545,60287,415,40505,8888,10.141739980449657,0.992406642746962,0.9911645307649448,0.928370689190542,0.0091936192270744,0.0111603036778728,0.9867383211081872,0.0135630498533724,0.0441837732160312
0,142,9101,RU,20000,FINAL,LATE_TEST_Q4,0.005,2.7871093750000004,0.8554862208414794,0.0098464796188459,0.9970970158571608,31943,93,9352,5396,9.846479618845953,0.9966844066011998,0.9957924679249756,0.9208792792792792,0.0079545279758889,0.0120492145515186,0.9880788967253528,0.0150344097406034,0.0369507676019057
